id,name,email,phone,dob,salary
1,john123 doe,JOHN.DOE@GMAIL.COM,-9876543119,12/1/1995,"Rs.50,000"
2,mary@@smith,mary.smith@gmail,98765abc210,2/15/1994,60000INR
3,ANIL kumar99,anil.kumar@yahoo.com,+91 9123456789,15-03-1992,"₹70,000"
4,sara__lee,sara.lee@outlook,9123456789,3/25/1993,80000
5,raj  kumar,raj.kumar@gmail.com,9876543210,7/10/1991,Rs90000
6,pr!ya patel,priya.patel@gmail.com,9.19877E+11,10/10/1994,100000
7,mohan123,mohan@gmail.com,987654321O,11/11/1990,"Rs.1,20,000"
8,reena@@,reena@gmail.com,phone9876543210,8/8/1992,75000
9,vijay__singh,vijay.singh@gmail.com,98-7654-3210,9/9/1993,INR85000
10,arun kum@r,arun@gmail,-9876543119,1/1/1991,Rs.65000
11,john123 doe,JOHN.DOE@GMAIL.COM,-9876543119,12/1/1995,"Rs.50,000"
12,mary@@smith,mary.smith@gmail,98765abc210,2/15/1994,60000INR
13,ANIL kumar99,anil.kumar@yahoo.com,+91 9123456789,15-03-1992,"₹70,000"
14,sara__lee,sara.lee@outlook,9123456789,3/25/1993,80000
15,raj  kumar,raj.kumar@gmail.com,9876543210,7/10/1991,Rs90000
16,pr!ya patel,priya.patel@gmail.com,9.19877E+11,10/10/1994,100000
17,mohan123,mohan@gmail.com,987654321O,11/11/1990,"Rs.1,20,000"
18,reena@@,reena@gmail.com,phone9876543210,8/8/1992,75000
19,vijay__singh,vijay.singh@gmail.com,98-7654-3210,9/9/1993,INR85000
20,arun kum@r,arun@gmail,-9876543119,1/1/1991,Rs.65000
21,john123 doe,JOHN.DOE@GMAIL.COM,-9876543119,12/1/1995,"Rs.50,000"
22,mary@@smith,mary.smith@gmail,98765abc210,2/15/1994,60000INR
23,ANIL kumar99,anil.kumar@yahoo.com,+91 9123456789,15-03-1992,"₹70,000"
24,sara__lee,sara.lee@outlook,9123456789,3/25/1993,80000
25,raj  kumar,raj.kumar@gmail.com,9876543210,7/10/1991,Rs90000
26,pr!ya patel,priya.patel@gmail.com,9.19877E+11,10/10/1994,100000
27,mohan123,mohan@gmail.com,987654321O,11/11/1990,"Rs.1,20,000"
28,reena@@,reena@gmail.com,phone9876543210,8/8/1992,75000
29,vijay__singh,vijay.singh@gmail.com,98-7654-3210,9/9/1993,INR85000
30,arun kum@r,arun@gmail,-9876543119,1/1/1991,Rs.65000
31,john123 doe,JOHN.DOE@GMAIL.COM,-9876543119,12/1/1995,"Rs.50,000"
32,mary@@smith,mary.smith@gmail,98765abc210,2/15/1994,60000INR
33,ANIL kumar99,anil.kumar@yahoo.com,+91 9123456789,15-03-1992,"₹70,000"
34,sara__lee,sara.lee@outlook,9123456789,3/25/1993,80000
35,raj  kumar,raj.kumar@gmail.com,9876543210,7/10/1991,Rs90000
36,pr!ya patel,priya.patel@gmail.com,9.19877E+11,10/10/1994,100000
37,mohan123,mohan@gmail.com,987654321O,11/11/1990,"Rs.1,20,000"
38,reena@@,reena@gmail.com,phone9876543210,8/8/1992,75000
39,vijay__singh,vijay.singh@gmail.com,98-7654-3210,9/9/1993,INR85000
40,arun kum@r,arun@gmail,-9876543119,1/1/1991,Rs.65000
41,john123 doe,JOHN.DOE@GMAIL.COM,-9876543119,12/1/1995,"Rs.50,000"
42,mary@@smith,mary.smith@gmail,98765abc210,2/15/1994,60000INR
43,ANIL kumar99,anil.kumar@yahoo.com,+91 9123456789,15-03-1992,"₹70,000"
44,sara__lee,sara.lee@outlook,9123456789,3/25/1993,80000
45,raj  kumar,raj.kumar@gmail.com,9876543210,7/10/1991,Rs90000
46,pr!ya patel,priya.patel@gmail.com,9.19877E+11,10/10/1994,100000
47,mohan123,mohan@gmail.com,987654321O,11/11/1990,"Rs.1,20,000"
48,reena@@,reena@gmail.com,phone9876543210,8/8/1992,75000
49,vijay__singh,vijay.singh@gmail.com,98-7654-3210,9/9/1993,INR85000
50,arun kum@r,arun@gmail,-9876543119,1/1/1991,Rs.65000
51,john123 doe,JOHN.DOE@GMAIL.COM,-9876543119,12/1/1995,"Rs.50,000"
52,mary@@smith,mary.smith@gmail,98765abc210,2/15/1994,60000INR
